# ZPRO - domaci ukol c. 1 (druha varianta) - prace s daty nactenymi ze souboru
# * kod programu napiste do nekolika .cpp/.h souboru (napr. vstupy/vystupy, algoritmy, ...)
# * nactete tento datovy soubor jehoz format je popsan nize
#   (radky zacinajici znakem '#' znaci komentar a pri nacitani je preskocte)
# * nactena data z radku ulozte do vhodne struktury
# * jednotlive radky nactene ze souboru ulozte do pole
#   - staci staticky alokovane pro X zaznamu (kde X je globalni konstanta)
#   - pokud by bylo v souboru vice zaznamu vypiste chybovou hlasku
# * s nactenymi daty provedte
#   + vypiste informace o nejstarsi/nejmladsi osobe
#   + vypiste prumernou vysku vsech osob starsich 20 let
#   + vypiste vsechny pribuzne nejmladsi osoby
#   + vypiste informace o osobach jejichz jmeno je v datovem souboru nejbeznejsi
# * vysledky zapisujte do noveho vystupniho souboru
#
# struktura datoveho souboru:
# * id .......... identifikacni cislo osoby
# * givenName ... jmeno
# * sn .......... prijmeni
# * birthday .... datum narozeni YYYY-m-d
# * height ...... vyska
# * weight ...... vaha
# * mother_id ... identifikacni cislo matky (-1 = nedefinovane)
# * father_id ... identifikacni cislo otce (-1 = nedefinovane)
#
# givenName|mother_id|sn|father_id|height|weight|birthday|id
Tereza|13836|Liskaova|60447|171|63.6|1986-9-18|35513
Karel|39752|Polivka|61510|168|67.6|1938-10-6|45929
Barbora|-1|Polivkaova|-1|162|38.5|1996-2-14|25427
Assel|51301|Faitova|73315|166|51.8|1995-5-27|90009
Jitka|-1|Judasova|-1|175|64.4|1969-6-25|35940
Zuzana|60253|Herainova|61220|193|59.4|1983-2-9|26836
Tomas|-1|Krc|-1|177|64.0|1988-9-23|78645
Lucie|-1|Ferencova|-1|175|59.6|1926-6-21|42749
Milena|26836|Herainova|-1|124|33.5|2009-7-6|63621
Ludek|-1|Vana|-1|178|70.9|1981-8-26|97579
Kristyna|26836|Herainova|-1|117|30.2|2008-3-28|60189
Vojtech|96210|Judas|78010|167|47.1|1969-3-8|90427
Petr|42749|Ferenc|-1|167|47.0|1952-11-8|92913
Lukas|34520|Toth|-1|174|60.5|1966-6-1|69562
Terezie|86821|Vanaova|97579|103|24.4|2008-9-8|99305
Ondrej|92751|Maly|93992|163|53.4|1976-1-7|73806
Eva|-1|Polivkaova|-1|177|67.9|1919-5-8|39752
Eva|98688|Malyova|52598|120|28.2|2009-6-12|53004
Lukas|-1|Beranek|-1|179|74.6|1987-4-27|84746
Martin|59217|Polivka|76645|190|67.3|1996-1-12|67842
Petr|-1|Kotlar|-1|183|67.9|1984-7-19|98936
Vit|-1|Frauknecht|-1|171|55.5|1973-12-22|73895
Katarina|-1|Svorcikova|-1|166|57.5|1971-3-8|34863
Zuzana|31367|Kodetova|91629|172|66.6|1958-4-21|11776
Kristyna|-1|Chmelova|-1|189|78.3|1960-3-15|51118
Stanislav|96210|Judas|78010|157|41.8|1969-9-23|16692
Marketa|51118|Vanickyova|22015|177|84.1|1981-3-18|24813
Dana|-1|Malyova|-1|183|70.3|1951-4-15|92751
Karolina|-1|Tothova|-1|181|81.4|1939-8-26|34520
David|34514|Maly|82901|183|64.1|1945-12-11|26022
Ondrej|29250|Ferenc|92913|179|66.9|1974-5-3|73315
Ivana|37266|Polivkaova|95096|44|2.5|2023-1-14|16060
Daniel|79048|Maly|26022|161|60.2|1968-4-2|39956
Magdalena|92751|Frauknechtova|93992|178|60.6|1978-2-12|26982
Denisa|76712|Rovnerova|97812|176|59.9|2001-1-3|31462
Vaclav|24759|Kolovratnik|45668|92|15.1|2011-5-14|66164
Lucie|59217|Polivkaova|76645|165|52.7|1997-5-13|49277
Ksenia|79631|Vanaova|34798|180|59.8|1989-9-6|86821
Pavel|-1|Polivka|-1|186|62.2|1970-6-13|76645
Petr|92751|Maly|93992|183|62.0|1978-9-9|52598
Lucie|49863|Kadlecova|-1|162|57.4|1987-12-23|50702
Petr|35940|Judas|90427|182|75.1|1996-11-11|92742
Lukas|-1|Vanicky|-1|174|70.1|1979-5-12|96787
